Sample_ID,Location,Region,Capture_date,collect_method,Escap_yr,Outmig_yr,collection_julian_day,capture_fork_length_juvs_mm,mean_exog,time_bin_use,NATLOC_new,WYlabel,life_stage,Phenotype,WYT,Natal_Exit_um,FWDist_um,Natal_exit_FL_mm,FW_exit_FL_mm
AR15-271,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,245.3408,415.9864,36.30318007,63.03240702
AR15-274,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,506.9163,545.6779,78.09585426,84.51710091
AR15-276,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,543.102,563.2935,84.09037732,87.43530121
AR15-279,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,475.1416,475.1416,72.83205746,72.83205746
AR15-280,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,531.3988,531.3988,82.15162521,82.15162521
AR15-289,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,221.974,442.7255,35.80642527,67.46200633
AR15-29,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,253.1121,559.1293,36.46839013,86.74545984
AR15-296,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,501.1405,501.1405,77.13903523,77.13903523
AR15-297,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,540,561.2808,83.5765,87.10187733
AR15-308,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,226.6822,503.6113,35.90651689,77.54834796
AR15-324,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,597.336,604.6744,93.07478176,94.2904611
AR15-326,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,251.8154,509.6287,36.44082359,78.54519044
AR15-33,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,609.0545,609.0545,95.01606847,95.01606847
AR15-356,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,415.1452,464.1239,62.89305383,71.00686527
AR15-357,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,486.7209,522.8404,74.75028429,80.73384066
AR15-359,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,538.3613,560.1855,83.30503296,86.92042993
AR15-360,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,506.2293,506.2293,77.98204584,77.98204584
AR15-361,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Early,Intermediate,250.2643,539.2838,36.40784875,83.45785431
AR15-362,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,482.0419,523.7429,73.97516115,80.88334881
AR15-374,NA,Spawning,NA,carcass_survey,2015,2014,NA,NA,NA,NA,AME,2014 (1),Spawner,Late,Drought,555.4533,555.4533,86.13649368,86.13649368
AR15-375,NA,Spawning,NA,carcass_survey,2015,2012,NA,NA,NA,NA,AME,2012 (2.3),Spawner,Late,Intermediate,510.3933,510.3933,78.67185408,78.67185408
AR15-377,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Early,Intermediate,249.0446,455.3301,36.38191915,69.55008437
AR15-379,NA,Spawning,NA,carcass_survey,2015,2013,NA,NA,NA,NA,AME,2013 (1.9),Spawner,Late,Intermediate,483.9919,504.6526,74.29819815,77.72084972
